                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     89,                0.04243,                0.10589,                0.75639,                0.99679,                      1,                  0.995,                0.88978,                0.58276,                0.42536,                 1.0001,              0.0002576,              0.0002576,              0.0002576
                     90,                 0.0394,                0.10272,                0.75864,                 0.9968,                      1,                  0.995,                 0.8839,                0.57857,                0.43095,                0.99708,              0.0002378,              0.0002378,              0.0002378
                     91,                0.04079,                0.10252,                0.75471,                0.99678,                      1,                  0.995,                0.88289,                0.57609,                0.43196,                0.99608,               0.000218,               0.000218,               0.000218
                     92,                0.03996,                0.10091,                0.75784,                0.99672,                      1,                  0.995,                0.88413,                0.57682,                0.42957,                0.99569,              0.0001982,              0.0001982,              0.0001982
                     93,                0.03805,                0.10077,                 0.7564,                0.99673,                      1,                  0.995,                0.89027,                0.57706,                0.43211,                0.99558,              0.0001784,              0.0001784,              0.0001784
                     94,                0.03867,                0.10012,                0.75672,                0.99669,                      1,                  0.995,                0.88413,                0.57724,                0.43357,                0.99552,              0.0001586,              0.0001586,              0.0001586
                     95,                0.03501,                0.09693,                0.75677,                0.99556,                      1,                  0.995,                0.87923,                0.58234,                 0.4285,                0.99729,              0.0001388,              0.0001388,              0.0001388
                     96,                0.03495,                0.09728,                0.75514,                0.99556,                      1,                  0.995,                0.87998,                0.58241,                0.42639,                0.99645,               0.000119,               0.000119,               0.000119
                     97,                0.03582,                0.09717,                0.75148,                0.99574,                      1,                  0.995,                0.88099,                 0.5786,                0.42988,                 0.9952,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                0.03356,                0.09562,                0.75929,                0.99584,                      1,                  0.995,                0.88099,                0.57836,                0.42821,                0.99443,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                0.03169,                0.09323,                0.75678,                 0.9958,                      1,                  0.995,                0.87998,                0.57893,                0.42815,                0.99547,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                0.03164,                0.09437,                0.75556,                0.99581,                      1,                  0.995,                0.88106,                0.58088,                0.42892,                0.99651,               3.98e-05,               3.98e-05,               3.98e-05
